teryt;psl.r;pis.r;po.r;pgnw;psl.p;pis.p;po.p
0201;0.495;-0.291;-0.591;22.9;15.3;17.8;34.4
0202;0.564;-0.201;-0.511;19.5;14.0;24.1;29.2
0203;0.162;-0.275;-0.152;23.2;15.6;32.0;27.2
0204;0.268;-0.0289;-0.225;29.6;39.6;16.8;21.4
0205;0.356;-0.204;-0.269;22.1;39.8;21.6;13.7
0206;0.114;-0.0663;-0.138;21.3;16.1;18.7;32.0
0207;0.159;-0.534;-0.571;22.9;25.6;17.0;37.9
0208;0.0595;-0.104;-0.333;22.1;21.8;19.2;35.7
0209;-0.0566;0.0228;-0.118;24.2;33.4;20.6;19.8
0210;0.205;-0.354;-0.491;23.7;22.3;19.3;24.8
0211;0.478;-0.0593;-0.125;20.6;12.9;26.2;13.8
0212;0.204;-0.363;-0.442;21.8;28.0;20.4;16.0
0213;0.661;-0.186;-0.300;21.6;21.9;15.3;32.2
0214;0.721;-0.407;-0.522;23.8;20.2;18.3;40.9
0215;0.584;-0.532;-0.561;21.7;17.9;31.5;35.5
0216;-0.106;-0.246;-0.242;24.0;23.7;25.5;15.7
0217;-0.0952;-0.235;-0.426;20.5;36.1;22.6;28.6
0218;0.249;-0.417;-0.491;21.6;26.9;16.3;32.7
0219;0.548;-0.569;-0.553;20.6;14.2;17.8;25.2
0220;0.369;-0.513;-0.474;20.5;29.9;20.4;34.2
0221;0.449;0.00233;-0.275;20.4;13.3;14.5;50.6
0222;0.694;-0.349;-0.662;22.1;16.6;17.3;47.7
0223;0.561;-0.337;-0.427;18.5;18.1;23.6;37.2
0224;-0.250;-0.0223;-0.124;23.7;29.6;17.1;22.6
0225;0.494;-0.380;-0.312;24.6;17.8;20.0;23.2
0226;0.480;-0.297;-0.326;24.7;19.9;19.2;36.2
0261;0.177;-0.461;-0.466;12.3;7.94;21.8;39.2
0262;-0.0280;-0.246;-0.304;13.4;11.9;26.9;26.2
0264;0.564;-0.442;-0.473;7.01;6.68;26.7;34.3
0265;0.613;-0.494;-0.636;15.6;6.33;15.3;58.1
0401;0.437;-0.445;-0.631;27.8;35.1;19.9;22.4
0402;0.225;-0.419;-0.532;19.6;44.7;30.0;15.5
0403;0.405;-0.170;-0.328;21.3;26.7;18.8;29.7
0404;0.135;-0.431;-0.539;22.8;24.1;17.1;40.8
0405;0.0399;-0.413;-0.360;23.1;29.2;25.9;17.4
0406;-0.127;-0.241;-0.216;23.3;36.8;15.4;24.8
0407;0.114;-0.365;-0.366;22.5;37.9;20.0;22.9
0408;0.103;0.0329;-0.0471;24.9;50.4;17.5;12.8
0409;0.114;-0.126;-0.333;22.6;58.1;12.7;15.4
0410;-0.142;-0.277;-0.251;22.8;40.6;20.9;19.0
0411;0.0616;-0.0352;-0.183;28.7;44.3;16.8;13.6
0412;0.351;-0.407;-0.542;22.4;46.6;21.1;20.7
0413;0.539;-0.351;-0.480;22.5;36.3;25.4;24.6
0414;0.162;-0.324;-0.446;24.4;34.0;18.6;30.7
0415;0.295;-0.196;-0.164;20.7;15.0;18.9;53.1
0416;-0.0964;-0.196;-0.315;20.5;41.3;14.9;34.6
0417;0.398;0.147;-0.146;24.6;34.9;14.0;29.3
0418;0.120;-0.124;-0.108;29.0;31.6;17.2;20.6
0419;0.109;-0.304;-0.463;23.4;37.7;14.1;20.1
0461;0.551;-0.371;-0.454;8.22;6.82;27.2;33.4
0462;0.295;-0.504;-0.565;13.7;11.0;20.1;51.0
0463;0.348;-0.586;-0.610;8.69;5.11;21.0;60.4
0464;0.522;-0.611;-0.642;16.0;13.3;22.0;32.5
0601;-0.160;-0.167;-0.0200;19.5;43.4;24.0;7.23
0602;0.0962;-0.123;-0.346;17.5;29.7;39.1;17.2
0603;-0.0857;-0.0241;-0.0900;21.4;35.7;19.4;32.6
0604;0.125;-0.202;-0.217;20.4;41.0;37.0;7.50
0605;-0.0126;-0.351;-0.136;15.9;34.1;46.8;4.93
0606;0.124;0.0528;-0.117;20.5;41.8;22.8;21.8
0607;0.345;-0.452;-0.419;17.3;44.5;33.4;11.8
0608;0.241;-0.509;-0.484;21.2;44.0;30.2;9.43
0609;-0.0871;-0.0964;-0.194;18.4;46.1;30.6;9.39
0610;0.485;-0.706;-0.521;20.0;26.1;29.2;31.2
0611;0.454;-0.442;-0.630;19.8;43.3;29.7;13.8
0612;0.0212;-0.328;-0.350;20.8;42.4;28.6;10.1
0613;0.0514;-0.395;-0.0120;18.6;43.2;34.2;6.53
0614;0.369;-0.497;-0.515;17.7;30.5;32.2;19.0
0615;-0.309;-0.144;-0.200;17.3;56.2;23.9;5.75
0616;-0.178;-0.105;-0.0320;18.3;57.6;19.1;9.75
0617;0.104;-0.260;-0.274;17.0;37.2;35.9;14.6
0618;0.245;-0.475;-0.430;21.8;40.8;32.0;11.9
0619;0.326;-0.384;-0.384;21.7;35.9;24.0;20.9
0620;-0.0839;-0.0723;-0.138;19.8;44.2;30.9;9.15
0661;0.617;-0.469;-0.475;11.1;18.0;30.4;14.8
0662;-0.397;-0.455;-0.422;10.4;21.0;22.4;39.7
0663;0.324;-0.322;-0.385;8.31;9.55;38.7;35.8
0664;-0.154;-0.448;-0.400;11.7;16.4;37.7;24.9
0801;0.0964;-0.104;-0.310;22.8;29.9;16.3;26.0
0802;0.111;-0.388;-0.360;22.3;32.3;8.51;16.2
0803;0.616;-0.322;-0.410;25.0;29.9;18.9;16.1
0804;0.649;-0.335;-0.372;19.7;23.1;14.3;20.5
0805;0.437;-0.183;-0.577;24.3;25.8;13.5;18.5
0806;-0.147;-0.215;-0.161;23.5;42.1;14.0;24.5
0807;0.327;-0.345;-0.244;25.0;21.9;13.0;9.57
0808;0.0281;-0.167;-0.255;19.2;28.5;16.4;20.1
0809;0.0352;-0.426;-0.481;24.7;28.9;13.3;31.5
0810;0.0463;-0.165;-0.389;22.2;31.1;11.8;27.4
0811;0.589;-0.352;-0.583;23.0;16.8;20.1;17.8
0812;0.123;-0.165;-0.368;21.7;28.6;24.7;23.2
0861;0.358;-0.390;-0.490;13.9;11.8;20.2;33.4
0862;0.428;-0.473;-0.566;9.41;12.5;24.8;39.3
1001;0.451;-0.522;-0.545;21.3;25.1;36.2;20.1
1002;0.453;-0.454;-0.562;23.4;38.0;21.7;22.9
1003;0.389;-0.0923;-0.372;19.9;30.9;32.5;20.2
1004;0.195;-0.213;-0.168;26.6;41.3;27.0;12.4
1005;-0.176;-0.302;-0.168;20.3;53.3;22.1;9.56
1006;0.748;-0.238;-0.407;20.5;19.6;32.3;21.8
1007;-0.0661;-0.149;-0.222;16.5;54.8;22.8;8.41
1008;0.416;-0.353;-0.286;17.5;23.0;28.6;28.6
1009;-0.0114;-0.565;-0.583;26.6;35.6;34.0;11.4
1010;0.220;-0.254;-0.313;20.7;36.5;34.3;9.84
1011;0.296;-0.145;-0.419;24.3;33.0;26.9;26.3
1012;0.384;-0.385;-0.631;22.1;46.2;23.3;16.1
1013;0.461;-0.340;-0.163;20.1;54.6;23.4;10.2
1014;0.407;-0.421;-0.604;24.5;36.7;27.1;18.1
1015;-0.00643;-0.343;-0.221;22.6;53.3;22.3;10.5
1016;0.399;-0.496;-0.495;18.4;38.8;28.9;14.0
1017;0.0751;-0.236;-0.354;22.7;51.1;19.7;12.3
1018;0.362;0.121;-0.533;23.5;40.7;16.9;20.8
1019;0.242;-0.439;-0.534;19.1;37.1;26.6;23.9
1020;0.306;-0.262;-0.492;17.2;25.7;24.7;27.6
1021;-0.146;0.0861;0.0821;21.5;46.4;26.8;15.1
1061;0.344;-0.315;-0.377;8.12;7.07;27.4;45.0
1062;0.384;-0.655;-0.622;14.3;20.1;27.8;30.4
1063;0.304;-0.00288;-0.217;14.3;23.6;25.5;28.8
1201;0.344;-0.362;-0.348;21.1;28.1;37.9;20.2
1202;0.389;-0.241;-0.396;20.2;27.7;46.5;15.1
1203;0.420;-0.199;-0.317;18.5;15.8;28.0;32.9
1204;-0.196;0.0553;-0.158;19.8;25.3;36.0;28.4
1205;0.351;-0.288;-0.386;20.4;24.4;43.0;18.9
1206;0.195;-0.188;-0.366;20.1;26.3;34.0;25.8
1207;0.0923;-0.290;-0.143;19.3;33.5;44.8;11.3
1208;0.172;-0.245;-0.228;18.3;49.3;33.9;6.22
1209;0.212;-0.175;-0.451;19.4;19.2;47.5;19.2
1210;0.205;-0.299;-0.145;20.6;26.0;43.7;19.0
1211;0.277;-0.178;-0.237;20.5;20.5;47.6;18.3
1212;0.00660;-0.208;-0.232;17.0;31.3;24.7;27.9
1213;0.229;-0.0324;-0.238;18.4;25.3;27.7;29.3
1214;0.224;-0.0834;-0.383;19.1;43.7;17.6;29.2
1215;-0.117;0.129;0.0837;23.2;33.3;32.0;21.9
1216;-0.00429;-0.144;-0.0481;21.2;25.1;46.1;18.4
1217;0.333;-0.114;-0.287;17.4;14.6;43.6;27.6
1218;0.162;-0.189;-0.327;19.7;23.1;33.6;26.9
1219;0.563;-0.283;-0.294;16.6;23.9;35.4;29.4
1261;0.269;-0.141;-0.387;8.54;8.55;31.7;41.0
1262;0.721;-0.453;-0.530;9.54;14.7;39.5;30.6
1263;0.422;-0.544;-0.535;10.3;10.4;36.9;36.0
1401;0.233;0.0258;-0.277;24.4;44.4;23.4;10.5
1402;0.460;-0.521;-0.684;21.6;48.4;25.2;9.32
1403;0.373;-0.236;-0.389;19.4;34.0;43.4;9.49
1404;0.329;-0.258;-0.288;21.3;64.1;19.4;5.39
1405;0.414;-0.474;-0.401;15.5;26.8;24.9;27.1
1406;0.0245;-0.0912;0.0325;23.1;52.2;21.8;10.2
1407;0.650;-0.323;-0.671;23.7;28.6;26.5;16.1
1408;0.673;-0.133;-0.263;16.1;17.3;26.2;33.1
1409;0.422;-0.489;-0.430;22.5;51.6;24.9;6.91
1410;-0.539;0.0758;-0.0210;17.0;62.7;21.8;6.04
1411;-0.124;0.0248;-0.164;23.1;53.2;22.2;6.61
1412;0.588;-0.387;-0.598;20.9;24.6;35.6;21.6
1413;0.425;-0.381;-0.526;26.1;56.4;19.1;6.88
1414;0.0266;-0.143;-0.188;23.7;37.3;22.3;12.4
1415;0.0812;-0.216;-0.245;26.8;44.6;28.7;9.46
1416;-0.206;-0.255;-0.270;22.3;36.4;37.3;9.56
1417;0.452;-0.130;-0.390;14.5;28.5;32.3;18.1
1418;0.638;-0.0498;-0.581;16.9;24.9;24.9;28.8
1419;0.283;-0.245;-0.378;21.7;68.2;16.4;4.47
1420;0.240;0.0403;-0.264;24.6;60.6;18.1;7.97
1421;0.634;-0.0500;-0.336;13.1;16.4;29.7;29.2
1422;0.571;-0.320;-0.443;21.9;62.1;21.5;4.85
1423;0.0807;-0.497;-0.468;21.3;35.4;42.8;8.10
1424;0.269;-0.478;-0.350;23.9;57.6;24.9;4.86
1425;-0.000871-0.0886;-0.0948;20.8;39.1;28.9;12.3
1426;0.0349;-0.0787;-0.0431;21.2;50.0;30.5;6.65
1427;0.339;-0.486;-0.442;21.8;69.7;14.1;4.68
1428;0.341;-0.506;-0.516;18.1;55.8;22.7;6.84
1429;0.0987;-0.235;-0.220;17.8;46.3;29.7;7.92
1430;0.649;-0.520;-0.630;23.9;33.0;33.7;12.8
1432;0.319;-0.220;-0.361;17.7;17.1;27.4;29.5
1433;0.284;-0.516;-0.507;22.4;29.9;35.3;22.0
1434;0.785;-0.447;-0.656;18.4;22.2;37.2;16.9
1435;0.215;-0.318;-0.461;22.3;50.9;25.5;7.88
1436;-0.00621;-0.237;-0.408;21.0;55.9;21.0;9.23
1437;0.194;-0.532;-0.384;27.7;64.7;13.0;4.37
1438;0.522;-0.553;-0.538;23.8;36.8;26.2;15.6
1461;0.502;-0.487;-0.625;12.8;24.8;32.7;24.9
1462;0.326;-0.582;-0.587;13.1;37.0;26.7;19.6
1463;0.445;-0.296;-0.288;9.25;12.9;35.7;30.8
1464;-0.132;-0.242;-0.268;9.67;16.7;34.9;24.4
1465;0.784;-0.461;-0.723;6.17;4.57;27.3;41.2
1601;0.532;-0.443;-0.523;19.0;22.2;28.1;21.5
1602;0.441;-0.250;-0.415;22.0;31.1;25.2;23.6
1603;-0.0452;-0.186;-0.210;19.6;18.6;12.1;27.7
1604;0.269;-0.317;-0.429;18.7;32.2;14.2;29.2
1605;0.178;0.139;0.0180;22.1;13.1;7.69;14.3
1606;0.132;-0.263;-0.424;20.5;33.3;16.1;25.2
1607;0.114;-0.392;-0.439;20.0;40.3;18.0;18.5
1608;0.183;-0.0969;-0.247;19.8;15.0;10.8;18.7
1609;0.266;-0.145;-0.108;21.9;15.2;11.0;22.7
1610;0.100;-0.243;-0.235;18.7;17.6;19.0;21.0
1611;0.176;-0.157;-0.193;18.9;20.5;7.83;17.0
1661;0.0468;-0.549;-0.576;9.52;11.2;19.5;38.0
1801;0.00317;-0.108;-0.311;25.5;23.7;32.5;24.3
1802;0.167;-0.375;-0.208;17.7;40.8;40.1;7.05
1803;0.237;-0.403;-0.505;18.8;25.2;46.7;8.12
1804;0.260;-0.392;-0.429;18.6;32.5;41.7;8.85
1805;0.333;-0.399;-0.426;16.4;27.6;48.7;11.9
1806;0.249;-0.337;-0.226;17.5;27.3;56.2;4.48
1807;-0.0169;-0.369;-0.225;19.0;37.0;34.5;13.7
1808;0.482;-0.513;0.0384;14.3;15.9;54.8;19.1
1809;0.0869;-0.102;-0.305;17.8;53.4;24.6;11.0
1810;0.0991;-0.268;-0.369;15.1;25.0;45.3;14.9
1811;0.255;-0.369;-0.418;16.1;38.3;42.8;8.64
1812;0.525;-0.0776;-0.185;17.7;15.7;48.6;9.86
1813;0.215;-0.360;-0.245;21.8;21.9;38.6;21.6
1814;0.301;-0.219;0.116;18.9;43.5;40.2;5.37
1815;0.0524;-0.304;-0.156;18.0;24.3;52.5;8.37
1816;0.348;-0.112;-0.116;16.4;21.4;51.4;11.7
1817;0.556;-0.438;-0.339;18.6;21.8;42.0;18.6
1818;0.521;-0.404;-0.415;16.2;22.5;44.4;14.9
1819;-0.167;-0.0826;-0.185;18.0;23.1;47.9;6.44
1820;-0.236;-0.103;0.0464;19.1;42.2;32.1;14.7
1821;0.198;-0.718;-0.591;22.5;22.6;43.7;14.2
1861;-0.0277;0.188;0.0614;9.55;17.3;39.0;28.7
1862;0.334;-0.531;-0.557;12.5;15.6;35.0;26.6
1863;0.338;-0.339;-0.395;8.93;10.9;39.2;28.5
1864;0.352;-0.291;-0.350;11.9;29.8;24.3;25.6
2001;0.363;-0.496;-0.544;19.5;47.5;24.7;15.1
2002;0.435;-0.372;-0.344;18.8;22.1;34.5;24.8
2003;0.284;-0.422;-0.203;17.8;37.0;35.6;10.3
2004;0.243;-0.401;-0.275;20.8;47.0;35.3;9.38
2005;-0.267;0.0223;0.109;17.2;51.8;7.59;12.1
2006;0.197;-0.204;-0.319;20.8;49.8;26.6;10.1
2007;0.0279;-0.201;-0.188;21.4;36.8;41.1;9.61
2008;0.267;-0.115;-0.534;18.5;48.5;21.8;20.8
2009;-0.00245;0.0226;-0.164;16.3;16.4;8.94;67.7
2010;0.0847;-0.420;-0.205;18.8;33.8;25.9;24.8
2011;0.265;-0.287;-0.372;16.9;58.3;24.2;6.73
2012;-0.146;-0.0589;-0.239;21.9;42.9;26.4;11.9
2013;0.00762;-0.254;-0.377;17.2;31.4;40.8;19.4
2014;-0.507;-0.214;-0.0856;16.8;41.3;33.7;11.8
2061;0.530;-0.483;-0.473;6.79;5.54;39.7;35.2
2062;0.245;-0.569;-0.414;9.05;17.4;43.5;20.9
2063;0.275;-0.650;-0.620;11.9;22.1;32.7;21.7
2201;0.189;0.0741;-0.367;23.4;26.7;21.7;34.6
2202;0.465;-0.230;-0.530;24.1;18.8;23.4;42.8
2203;0.531;-0.440;-0.497;29.5;29.0;15.7;37.1
2204;0.770;-0.211;-0.505;19.9;13.1;20.2;49.9
2205;0.203;0.0582;-0.368;21.2;36.0;25.3;27.5
2206;0.158;-0.102;-0.237;21.3;18.7;28.1;38.6
2207;0.600;-0.555;-0.610;24.0;27.3;18.7;31.0
2208;0.653;-0.469;-0.624;25.4;17.9;16.8;34.9
2209;0.0391;-0.0917;-0.326;23.0;23.8;16.3;30.0
2210;-0.0287;0.0666;-0.261;22.7;41.6;13.5;23.5
2211;0.513;-0.292;-0.417;21.7;26.9;22.3;33.9
2212;0.286;-0.117;-0.280;26.8;37.5;16.4;25.6
2213;0.419;-0.514;-0.517;24.3;27.8;23.8;27.2
2214;0.417;-0.547;-0.585;22.3;22.6;18.7;40.3
2215;0.520;-0.353;-0.638;21.3;16.8;27.9;38.7
2216;-0.0830;-0.430;-0.319;30.4;45.4;12.9;18.6
2261;0.459;-0.375;-0.522;7.63;6.88;27.5;48.1
2262;0.690;-0.298;-0.488;9.84;12.1;22.1;47.3
2263;0.487;-0.335;-0.348;14.5;13.6;26.6;37.3
2264;0.459;-0.584;-0.612;8.45;6.07;23.0;55.4
2401;0.262;-0.101;-0.226;19.4;15.1;18.1;24.0
2402;0.247;-0.0988;-0.185;17.2;21.8;29.5;22.8
2403;0.461;-0.0103;-0.114;19.0;15.3;26.6;33.0
2404;0.133;-0.302;-0.248;20.9;34.6;21.3;11.2
2405;-0.0460;-0.197;-0.224;22.6;21.4;17.4;25.7
2406;-0.0309;-0.296;-0.203;24.3;40.2;20.0;10.6
2407;0.538;-0.160;-0.110;25.7;21.8;27.7;22.9
2408;0.326;-0.272;-0.398;16.9;8.42;28.6;32.0
2409;0.509;-0.149;-0.418;20.5;26.0;27.1;16.2
2410;0.174;-0.327;-0.281;19.8;13.2;32.3;22.6
2411;0.398;-0.380;-0.211;17.8;10.7;18.9;43.2
2412;0.485;-0.239;-0.336;22.3;13.0;28.3;24.7
2413;0.209;-0.365;-0.470;16.9;22.8;20.3;21.9
2414;0.241;-0.386;-0.255;18.8;11.0;37.5;15.8
2415;-0.0428;-0.188;-0.302;17.5;17.4;28.0;21.0
2416;0.0363;-0.0809;-0.287;16.1;28.6;18.0;27.8
2417;0.207;-0.0819;-0.360;24.1;21.7;34.8;19.1
2461;-0.0892;-0.457;-0.481;9.47;8.21;30.7;30.2
2462;0.489;-0.352;-0.437;13.4;14.0;19.4;29.2
2463;0.478;-0.354;-0.352;12.4;7.36;16.6;31.3
2464;0.457;-0.297;-0.272;9.32;9.05;29.5;23.0
2465;0.540;-0.178;-0.243;12.0;8.08;20.6;22.8
2466;0.456;-0.298;-0.480;10.8;7.52;21.2;36.2
2467;-0.376;0.00922;-0.129;12.0;9.25;31.6;23.8
2468;0.395;-0.280;-0.409;14.1;12.3;28.7;30.4
2469;0.345;-0.171;-0.336;9.11;7.01;22.5;31.5
2470;-0.0422;-0.252;-0.471;13.0;10.7;21.7;23.4
2471;0.190;-0.321;-0.427;14.7;11.9;21.4;32.5
2472;0.854;-0.539;-0.579;13.1;10.3;22.1;28.0
2473;0.403;-0.171;-0.546;11.7;9.66;33.7;27.1
2474;0.451;-0.322;-0.361;10.7;7.81;18.0;31.4
2475;0.536;-0.461;-0.488;9.91;7.77;20.7;25.9
2476;0.731;-0.799;-0.809;16.9;10.0;19.4;28.3
2477;0.377;-0.271;-0.323;9.79;6.21;26.5;37.2
2478;0.574;-0.317;-0.392;13.5;12.1;18.1;39.9
2479;0.495;-0.160;-0.417;15.3;8.34;40.4;24.1
2601;-0.0116;-0.0698;-0.219;15.1;74.1;11.7;6.65
2602;0.128;-0.176;-0.156;19.1;63.1;20.4;7.07
2603;-0.598;0.00277;0.473;16.9;72.3;14.9;4.99
2604;0.267;-0.342;-0.287;19.3;51.1;24.1;9.91
2605;0.432;-0.284;-0.317;19.2;36.1;36.0;11.6
2606;0.219;-0.175;-0.373;19.4;66.6;15.8;8.91
2607;0.381;-0.486;-0.492;19.4;39.7;23.8;17.9
2608;0.158;-0.375;-0.379;17.4;57.5;17.5;14.3
2609;0.245;-0.284;-0.242;20.2;55.1;21.6;12.4
2610;0.539;-0.364;-0.523;17.6;28.5;26.1;29.7
2611;0.366;-0.459;-0.592;19.7;32.2;30.6;17.9
2612;-0.152;-0.113;-0.209;18.3;55.0;27.8;7.61
2613;-0.144;-0.252;-0.232;17.8;67.5;21.0;3.06
2661;0.496;-0.582;-0.552;9.16;23.0;33.4;20.1
2801;0.322;-0.475;-0.551;24.8;23.0;29.9;30.3
2802;0.208;-0.342;-0.470;21.1;49.9;15.3;17.9
2803;-0.178;0.0520;-0.313;26.6;52.0;20.2;15.1
2804;0.170;-0.0947;-0.232;24.6;34.2;17.5;31.6
2805;0.409;-0.625;-0.658;25.1;27.9;27.4;22.6
2806;0.501;-0.475;-0.541;25.2;37.9;14.6;26.8
2807;0.410;-0.285;-0.488;22.2;49.4;14.7;19.0
2808;0.384;-0.539;-0.549;24.2;42.9;13.5;25.0
2809;0.293;-0.290;-0.420;22.5;22.9;14.2;48.1
2810;0.289;-0.504;-0.446;21.0;45.6;16.5;26.6
2811;0.449;-0.658;-0.644;26.9;39.1;26.6;19.6
2812;0.207;-0.108;-0.313;22.7;64.5;16.3;12.9
2813;0.252;-0.717;-0.171;18.1;52.8;16.5;17.0
2814;-0.0540;-0.209;-0.264;22.4;44.7;14.6;21.9
2815;0.324;-0.191;-0.210;22.3;47.7;11.2;24.7
2816;0.0231;-0.529;-0.342;20.8;60.5;15.7;12.7
2817;0.287;-0.216;-0.461;21.9;54.4;17.5;16.7
2818;0.441;-0.540;-0.779;21.3;23.3;9.12;55.0
2819;0.376;-0.0404;-0.428;19.3;34.1;11.6;30.2
2861;0.448;-0.392;-0.482;14.0;15.9;28.6;33.9
2862;0.152;-0.385;-0.398;12.3;21.5;22.1;34.5
3001;0.0823;-0.0971;-0.0810;27.8;43.8;12.0;21.1
3002;0.454;-0.480;-0.0288;28.6;24.5;28.1;23.3
3003;0.453;-0.397;-0.451;25.4;20.0;28.6;18.7
3004;0.114;-0.335;-0.343;32.2;31.9;16.9;24.7
3005;0.321;-0.365;-0.439;30.3;31.8;23.7;25.7
3006;0.180;-0.0715;-0.370;23.8;48.8;11.7;11.6
3007;0.0633;-0.0187;-0.00159;23.7;49.0;19.0;11.1
3008;0.231;-0.489;-0.461;28.3;50.8;16.1;16.3
3009;0.145;-0.0729;-0.287;23.1;57.7;19.6;7.46
3010;0.396;-0.349;-0.468;32.0;31.7;22.4;18.1
3011;0.315;-0.283;-0.372;29.5;24.6;19.8;23.1
3012;-0.153;-0.284;-0.198;23.3;66.7;12.3;8.84
3013;0.235;-0.225;-0.304;30.9;27.4;15.0;25.3
3014;0.253;-0.235;-0.0814;27.2;24.4;13.7;34.6
3015;0.153;-0.338;-0.373;25.5;38.4;13.5;22.8
3016;0.330;-0.288;-0.458;25.9;32.6;13.4;23.5
3017;0.499;-0.345;-0.380;23.5;28.9;20.7;26.5
3018;0.0789;-0.349;-0.399;23.2;58.4;15.2;9.68
3019;0.617;-0.154;-0.524;24.7;23.1;19.7;26.8
3020;0.681;-0.267;-0.693;24.6;33.5;20.7;31.7
3021;0.394;-0.297;-0.541;23.6;17.0;18.2;33.1
3022;0.510;-0.482;-0.530;27.3;34.8;16.3;17.1
3023;0.499;-0.570;-0.660;30.5;37.2;21.3;14.5
3024;0.397;-0.0253;-0.123;28.7;21.5;14.2;34.4
3025;0.461;-0.312;-0.325;27.4;29.0;19.0;17.8
3026;0.503;-0.541;-0.640;26.7;31.0;17.3;25.3
3027;0.0941;-0.224;-0.278;24.0;41.4;26.4;10.7
3028;0.431;-0.159;-0.527;24.3;24.8;12.1;23.1
3029;0.426;-0.274;-0.477;26.8;36.9;13.9;27.4
3030;0.482;-0.245;-0.509;24.0;24.1;18.8;27.7
3031;0.246;-0.309;-0.458;28.7;31.8;15.3;32.0
3061;0.460;-0.539;-0.526;14.6;19.4;24.2;28.0
3062;0.407;-0.294;-0.312;14.1;9.63;23.4;27.7
3063;-0.00591;-0.0642;-0.210;14.3;9.32;18.0;24.5
3064;0.379;-0.353;-0.538;9.98;6.69;23.8;34.0
3201;0.470;-0.177;-0.120;21.5;20.5;17.9;35.9
3202;0.374;-0.236;-0.572;24.2;31.0;12.7;29.4
3203;0.413;-0.256;-0.314;26.4;26.3;18.7;30.6
3204;0.427;-0.308;-0.465;24.7;34.3;15.1;29.5
3205;0.200;-0.448;-0.397;21.0;50.0;9.31;20.5
3206;0.468;-0.558;-0.340;26.5;20.2;28.0;28.8
3207;0.304;-0.366;-0.399;22.9;33.0;14.6;27.6
3208;0.331;-0.464;-0.465;21.1;22.3;18.6;33.6
3209;0.329;-0.495;-0.402;26.0;32.8;14.6;30.2
3210;0.655;-0.400;-0.638;23.9;26.2;18.9;32.1
3211;0.424;-0.123;-0.375;17.3;10.1;21.8;31.4
3212;-0.0950;0.173;-0.246;26.2;33.6;18.6;18.5
3213;0.387;-0.207;-0.361;25.5;27.7;13.9;23.2
3214;0.378;-0.463;-0.625;22.9;25.2;19.9;27.0
3215;0.687;-0.359;-0.583;23.1;22.7;19.0;37.8
3216;0.615;-0.453;-0.449;27.9;33.1;17.1;26.7
3217;0.178;-0.437;-0.481;26.0;28.6;12.9;37.2
3218;0.689;-0.426;-0.336;29.0;38.9;19.5;26.0
3261;0.299;-0.450;-0.570;11.6;11.9;17.4;39.5
3262;0.457;-0.310;-0.463;8.82;7.52;24.6;33.6
3263;0.449;0.0414;-0.265;11.7;8.54;19.5;26.1
